stp=4 -6.2990047612 -2.4584188756 1.5471037538 4.9783337112
stp=6 -7.8031402665 -5.1334474964 -2.2680907604 0.7045030964
stp=8 -8.3230177214 -6.4030366356 -4.2385914214 -1.9921061699
stp=10 -8.5106230560 -7.4712718353 -5.9656952456 -3.9948067594
stp=12 -8.6121680094 -7.8747428920 -6.2981065963 -4.6706310750
stp=14 -8.6171520699 -7.8947462204 -6.3671646538 -5.5105851298
stp=16 -8.6174196408 -7.8967491410 -6.4482047659 -6.0617987199
stp=18 -8.6174231305 -7.8967946738 -6.4601404393 -6.0982571289
stp=20 -8.6174231809 -7.8967957828 -6.4614263254 -6.1039664860
stp=22 -8.6174231818 -7.8967958176 -6.4616271844 -6.1056597187
stp=24 -8.6174231818 -7.8967958191 -6.4616892834 -6.1072169986
stp=26 -8.6174231818 -7.8967958192 -6.4617132935 -6.1120536080
stp=28 -8.6174231818 -7.8967958192 -6.4617178598 -6.1202717604
stp=30 -8.6174231818 -7.8967958192 -6.4617181387 -6.1217122877
