stp=4 -4.5076800002 -0.3842373249 2.4941489678 4.9376279938
stp=6 -7.6986694679 -3.8125581060 -0.5829712027 1.9594392740
stp=8 -9.7926850476 -6.4297521450 -3.5029821726 -0.7882767037
stp=10 -10.9947503816 -8.2967383596 -5.5248461645 -3.1504002286
stp=12 -11.2083266541 -8.8542885777 -6.7540095791 -4.7317358945
stp=14 -11.2258937014 -9.0772966052 -7.8481312242 -6.1199289151
stp=16 -11.2283104518 -9.3961523656 -8.6562491014 -6.9991306213
stp=18 -11.2284770949 -9.5033564758 -8.7699292576 -7.3474710427
stp=20 -11.2284829918 -9.5159071699 -8.7893942248 -7.6137880185
stp=22 -11.2284832001 -9.5174250164 -8.7944641924 -7.8827834714
stp=24 -11.2284832081 -9.5176391644 -8.7962908311 -8.1260462464
stp=26 -11.2284832084 -9.5176761316 -8.7972506884 -8.3337061889
stp=28 -11.2284832084 -9.5176841765 -8.7981539671 -8.5328120558
stp=30 -11.2284832084 -9.5176875029 -8.8254961060 -8.7872255591
stp=32 -11.2284832084 -9.5176879460 -8.8776934418 -8.7939798590
stp=34 -11.2284832084 -9.5176879812 -8.8852955092 -8.7943260103
stp=36 -11.2284832084 -9.5176879838 -8.8863380562 -8.7943736678
stp=38 -11.2284832084 -9.5176879839 -8.8864307327 -8.7943782609
stp=40 -11.2284832084 -9.5176879839 -8.8864405361 -8.7943787937
stp=42 -11.2284832084 -9.5176879839 -8.8864422628 -8.7943788984
stp=44 -11.2284832084 -9.5176879839 -8.8864424018 -8.7943789077
stp=46 -11.2284832084 -9.5176879839 -8.8864424075 -8.7943789081
