stp=4 -5.0013019547 -0.5963446489 2.4418699642 4.8304002316
stp=6 -8.2738881022 -4.2627889314 -0.8054215137 1.8664711155
stp=8 -10.3674966193 -6.9264840330 -3.8984688737 -0.9944920562
stp=10 -11.1537909747 -8.3504126521 -5.6160845269 -3.2442271077
stp=12 -11.2215274647 -8.7135291893 -6.8946505542 -5.0165917606
stp=14 -11.2277123240 -8.9851762026 -8.0090039151 -6.0604197870
stp=16 -11.2284117106 -9.2952961165 -8.5181141398 -7.1306737443
stp=18 -11.2284792685 -9.4701758419 -8.7021074037 -7.7490702434
stp=20 -11.2284830449 -9.5100853544 -8.7649480089 -8.0235810491
stp=22 -11.2284832021 -9.5165270157 -8.7883269763 -8.1900841697
stp=24 -11.2284832082 -9.5174842813 -8.7976271154 -8.3057740993
stp=26 -11.2284832084 -9.5176411230 -8.8021280583 -8.4028395715
stp=28 -11.2284832084 -9.5176762864 -8.8061814185 -8.5365168051
stp=30 -11.2284832084 -9.5176855867 -8.8138591476 -8.6878684189
stp=32 -11.2284832084 -9.5176874497 -8.8290443909 -8.7567183711
stp=34 -11.2284832084 -9.5176878892 -8.8575336750 -8.7845235079
stp=36 -11.2284832084 -9.5176879760 -8.8810846950 -8.7929282779
stp=38 -11.2284832084 -9.5176879835 -8.8858472614 -8.7942096886
stp=40 -11.2284832084 -9.5176879839 -8.8863752719 -8.7943578667
stp=42 -11.2284832084 -9.5176879839 -8.8864320605 -8.7943753142
stp=44 -11.2284832084 -9.5176879839 -8.8864411895 -8.7943784392
stp=46 -11.2284832084 -9.5176879839 -8.8864423013 -8.7943788631
stp=48 -11.2284832084 -9.5176879839 -8.8864423978 -8.7943789035
