LanczosStep  E[1] E[2] E[3] E[4] E_Max/Nsite
stp=146 -13.3768393492 -13.3391299318 -13.2736983760 -13.2521306108 0.5000000000
stp=148 -13.3768393669 -13.3391350929 -13.2776346743 -13.2594097526 0.5000000000
stp=150 -13.3768393800 -13.3391397798 -13.2835843126 -13.2634530812 0.5000000000
stp=152 -13.3768393900 -13.3391441372 -13.2900806479 -13.2654074437 0.5000000000
stp=154 -13.3768393978 -13.3391484262 -13.2963186434 -13.2665022983 0.5000000000
stp=156 -13.3768394043 -13.3391528849 -13.3021576860 -13.2672367085 0.5000000000
stp=158 -13.3768394096 -13.3391576868 -13.3075484842 -13.2678004620 0.5000000000
stp=160 -13.3768394138 -13.3391628509 -13.3123284856 -13.2682688614 0.5000000000
stp=162 -13.3768394172 -13.3391683716 -13.3164224574 -13.2686839401 0.5000000000
stp=164 -13.3768394197 -13.3391741973 -13.3198270777 -13.2690712879 0.5000000000
stp=166 -13.3768394216 -13.3391799112 -13.3224660576 -13.2694301178 0.5000000000
stp=168 -13.3768394228 -13.3391850139 -13.3243791553 -13.2697538480 0.5000000000
stp=170 -13.3768394236 -13.3391890445 -13.3256621011 -13.2700283399 0.5000000000
stp=172 -13.3768394240 -13.3391919095 -13.3264769065 -13.2702478786 0.5000000000
stp=174 -13.3768394243 -13.3391938904 -13.3270026202 -13.2704247210 0.5000000000
stp=176 -13.3768394244 -13.3391953257 -13.3273689730 -13.2705789443 0.5000000000
stp=178 -13.3768394245 -13.3391964444 -13.3276490946 -13.2707295944 0.5000000000
stp=180 -13.3768394246 -13.3391973481 -13.3278742087 -13.2708900077 0.5000000000
stp=182 -13.3768394246 -13.3391980591 -13.3280522748 -13.2710650452 0.5000000000
stp=184 -13.3768394247 -13.3391985878 -13.3281864610 -13.2712524192 0.5000000000
stp=186 -13.3768394247 -13.3391989735 -13.3282862705 -13.2714538945 0.5000000000
stp=188 -13.3768394247 -13.3391992526 -13.3283602379 -13.2716726050 0.5000000000
stp=190 -13.3768394247 -13.3391994500 -13.3284139600 -13.2719070617 0.5000000000
stp=192 -13.3768394247 -13.3391995855 -13.3284519329 -13.2721509536 0.5000000000
stp=194 -13.3768394247 -13.3391996764 -13.3284781911 -13.2723958032 0.5000000000
stp=196 -13.3768394247 -13.3391997371 -13.3284962643 -13.2726359173 0.5000000000
stp=198 -13.3768394247 -13.3391997775 -13.3285086522 -13.2728659104 0.5000000000
stp=200 -13.3768394247 -13.3391998040 -13.3285170599 -13.2730797822 0.5000000000
stp=202 -13.3768394247 -13.3391998214 -13.3285227281 -13.2732735629 0.5000000000
stp=204 -13.3768394247 -13.3391998330 -13.3285266216 -13.2734499398 0.5000000000
stp=206 -13.3768394247 -13.3391998409 -13.3285293877 -13.2736152185 0.5000000000
stp=208 -13.3768394247 -13.3391998466 -13.3285314399 -13.2737780994 0.5000000000
stp=210 -13.3768394247 -13.3391998509 -13.3285330406 -13.2739503060 0.5000000000
stp=212 -13.3768394247 -13.3391998543 -13.3285343443 -13.2741471338 0.5000000000
stp=214 -13.3768394247 -13.3391998569 -13.3285354045 -13.2743816129 0.5000000000
stp=216 -13.3768394247 -13.3391998589 -13.3285362279 -13.2746577522 0.5000000000
stp=218 -13.3768394247 -13.3391998603 -13.3285368499 -13.2749796717 0.5000000000
stp=220 -13.3768394247 -13.3391998613 -13.3285373106 -13.2753488294 0.5000000000
stp=222 -13.3768394247 -13.3391998620 -13.3285376415 -13.2757531641 0.5000000000
stp=224 -13.3768394247 -13.3391998624 -13.3285378744 -13.2761745187 0.5000000000
stp=226 -13.3768394247 -13.3391998628 -13.3285380368 -13.2765937231 0.5000000000
stp=228 -13.3768394247 -13.3391998630 -13.3285381508 -13.2769989082 0.5000000000
stp=230 -13.3768394247 -13.3391998631 -13.3285382335 -13.2773941887 0.5000000000
stp=232 -13.3768394247 -13.3391998632 -13.3285382936 -13.2777742995 0.5000000000
stp=234 -13.3768394247 -13.3391998633 -13.3285383358 -13.2781216672 0.5000000000
stp=236 -13.3768394247 -13.3391998633 -13.3285383646 -13.2784256631 0.5000000000
stp=238 -13.3768394247 -13.3391998634 -13.3285383843 -13.2786862702 0.5000000000
stp=240 -13.3768394247 -13.3391998634 -13.3285383978 -13.2789083924 0.5000000000
stp=242 -13.3768394247 -13.3391998634 -13.3285384071 -13.2790995416 0.5000000000
stp=244 -13.3768394247 -13.3391998634 -13.3285384138 -13.2792679946 0.5000000000
stp=246 -13.3768394247 -13.3391998634 -13.3285384186 -13.2794194909 0.5000000000
stp=248 -13.3768394247 -13.3391998634 -13.3285384221 -13.2795563958 0.5000000000
stp=250 -13.3768394247 -13.3391998634 -13.3285384246 -13.2796784488 0.5000000000
stp=252 -13.3768394247 -13.3391998634 -13.3285384263 -13.2797836628 0.5000000000
stp=254 -13.3768394247 -13.3391998634 -13.3285384274 -13.2798710157 0.5000000000
stp=256 -13.3768394247 -13.3391998634 -13.3285384282 -13.2799428929 0.5000000000
stp=258 -13.3768394247 -13.3391998634 -13.3285384287 -13.2800011000 0.5000000000
stp=260 -13.3768394247 -13.3391998634 -13.3285384290 -13.2800462251 0.5000000000
stp=262 -13.3768394247 -13.3391998634 -13.3285384292 -13.2800802508 0.5000000000
stp=264 -13.3768394247 -13.3391998634 -13.3285384293 -13.2801067473 0.5000000000
stp=266 -13.3768394247 -13.3391998634 -13.3285384294 -13.2801285818 0.5000000000
