i=0 spin=0 isite1=1 tmp_V=-0.500000 
i=1 spin=1 isite1=1 tmp_V=0.500000 
i=2 spin=0 isite1=2 tmp_V=-0.500000 
i=3 spin=1 isite1=2 tmp_V=0.500000 
i=4 spin=0 isite1=3 tmp_V=-0.500000 
i=5 spin=1 isite1=3 tmp_V=0.500000 
i=6 spin=0 isite1=4 tmp_V=-0.500000 
i=7 spin=1 isite1=4 tmp_V=0.500000 
i=8 spin=0 isite1=5 tmp_V=-0.500000 
i=9 spin=1 isite1=5 tmp_V=0.500000 
i=10 spin=0 isite1=6 tmp_V=-0.500000 
i=11 spin=1 isite1=6 tmp_V=0.500000 
i=12 spin=0 isite1=7 tmp_V=-0.500000 
i=13 spin=1 isite1=7 tmp_V=0.500000 
i=14 spin=0 isite1=8 tmp_V=-0.500000 
i=15 spin=1 isite1=8 tmp_V=0.500000 
i=16 spin=0 isite1=9 tmp_V=-0.500000 
i=17 spin=1 isite1=9 tmp_V=0.500000 
i=18 spin=0 isite1=10 tmp_V=-0.500000 
i=19 spin=1 isite1=10 tmp_V=0.500000 
i=20 spin=0 isite1=11 tmp_V=-0.500000 
i=21 spin=1 isite1=11 tmp_V=0.500000 
i=22 spin=0 isite1=12 tmp_V=-0.500000 
i=23 spin=1 isite1=12 tmp_V=0.500000 
i=24 spin=0 isite1=13 tmp_V=-0.500000 
i=25 spin=1 isite1=13 tmp_V=0.500000 
i=26 spin=0 isite1=14 tmp_V=-0.500000 
i=27 spin=1 isite1=14 tmp_V=0.500000 
i=28 spin=0 isite1=15 tmp_V=-0.500000 
i=29 spin=1 isite1=15 tmp_V=0.500000 
i=30 spin=0 isite1=16 tmp_V=-0.500000 
i=31 spin=1 isite1=16 tmp_V=0.500000 
i=32 spin=0 isite1=17 tmp_V=-0.500000 
i=33 spin=1 isite1=17 tmp_V=0.500000 
i=34 spin=0 isite1=18 tmp_V=-0.500000 
i=35 spin=1 isite1=18 tmp_V=0.500000 
i=36 spin=0 isite1=19 tmp_V=-0.500000 
i=37 spin=1 isite1=19 tmp_V=0.500000 
i=38 spin=0 isite1=20 tmp_V=-0.500000 
i=39 spin=1 isite1=20 tmp_V=0.500000 
i=40 spin=0 isite1=21 tmp_V=-0.500000 
i=41 spin=1 isite1=21 tmp_V=0.500000 
i=42 spin=0 isite1=22 tmp_V=-0.500000 
i=43 spin=1 isite1=22 tmp_V=0.500000 
i=44 spin=0 isite1=23 tmp_V=-0.500000 
i=45 spin=1 isite1=23 tmp_V=0.500000 
i=46 spin=0 isite1=24 tmp_V=-0.500000 
i=47 spin=1 isite1=24 tmp_V=0.500000 
i=48 spin=0 isite1=25 tmp_V=-0.500000 
i=49 spin=1 isite1=25 tmp_V=0.500000 
i=50 spin=0 isite1=26 tmp_V=-0.500000 
i=51 spin=1 isite1=26 tmp_V=0.500000 
i=52 spin=0 isite1=27 tmp_V=-0.500000 
i=53 spin=1 isite1=27 tmp_V=0.500000 
i=54 spin=0 isite1=28 tmp_V=-0.500000 
i=55 spin=1 isite1=28 tmp_V=0.500000 
i=56 spin=0 isite1=29 tmp_V=-0.500000 
i=57 spin=1 isite1=29 tmp_V=0.500000 
i=58 spin=0 isite1=30 tmp_V=-0.500000 
i=59 spin=1 isite1=30 tmp_V=0.500000 
